../../../pdielec -processors 4 -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -optical_tensor 2.3471 0 0.0786 0 2.3942 0 0.0786 0 2.2621 -csv command.csv -masses program LEUCINE_FREQUENCY_PBED3_631Gdp_FULLOPTIMIZATON.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
,,,,,,cm-1,thz,maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(0 0 1)_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_plate(0 0 1)_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,          2.11911385,          2.10831509,          2.10816270,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000564,          0.00000492,          0.00000548,          2.11911399,          2.10831521,          2.10816283,          0.00000352,          0.00000306,          0.00000341,          0.00000132,          0.00000115,          0.00000128
,,,,,,    0.400000,    0.011992,          0.00002256,          0.00001967,          0.00002193,          2.11911441,          2.10831558,          2.10816324,          0.00000704,          0.00000613,          0.00000683,          0.00000528,          0.00000461,          0.00000513
,,,,,,    0.600000,    0.017988,          0.00005076,          0.00004426,          0.00004934,          2.11911511,          2.10831619,          2.10816392,          0.00001057,          0.00000919,          0.00001024,          0.00001188,          0.00001036,          0.00001155
,,,,,,    0.800000,    0.023983,          0.00009026,          0.00007870,          0.00008773,          2.11911609,          2.10831704,          2.10816487,          0.00001409,          0.00001226,          0.00001366,          0.00002113,          0.00001842,          0.00002054
,,,,,,    1.000000,    0.029979,          0.00014105,          0.00012299,          0.00013710,          2.11911735,          2.10831813,          2.10816609,          0.00001762,          0.00001532,          0.00001708,          0.00003302,          0.00002879,          0.00003210
,,,,,,    1.200000,    0.035975,          0.00020315,          0.00017714,          0.00019748,          2.11911889,          2.10831947,          2.10816758,          0.00002114,          0.00001839,          0.00002050,          0.00004756,          0.00004147,          0.00004623
,,,,,,    1.400000,    0.041971,          0.00027658,          0.00024118,          0.00026888,          2.11912071,          2.10832106,          2.10816934,          0.00002467,          0.00002146,          0.00002393,          0.00006475,          0.00005647,          0.00006295
,,,,,,    1.600000,    0.047967,          0.00036134,          0.00031511,          0.00035131,          2.11912282,          2.10832288,          2.10817138,          0.00002821,          0.00002453,          0.00002735,          0.00008460,          0.00007377,          0.00008225
,,,,,,    1.800000,    0.053963,          0.00045746,          0.00039895,          0.00044481,          2.11912520,          2.10832496,          2.10817369,          0.00003174,          0.00002761,          0.00003078,          0.00010710,          0.00009340,          0.00010414
